ID,Version,Status
SCHEDU_HSBC_ERP_BANKST_1,01.00.0000,ACTIVATED
OBL_BULK_PROJ_COST_DATA_TO_ERP,02.00.0000,CONFIGURED
SCHEDU_HSBC_ERP_BANKST_2,01.00.0000,ACTIVATED
SCHED_BOCA_LEASE_ERP_AIRCR_DATA,01.00.0000,CONFIGURED
OBL_BULK_PROJ_STAT_DATA_TO_ERP,02.00.0000,ACTIVATED
DYNAMIC_MAIL_241,01.00.0000,ACTIVATED
BOCA_ERP_CONCUR_PROJECT_TASKS,01.00.0000,CONFIGURED
BOCA_HSBC_ERP_BANKSTATERP,01.00.0000,ACTIVATED
AIRCRAFT_TEST2,01.00.0000,CONFIGURED
SCHEDULE_HSBC_ERP_BANKSTAT,01.00.0000,CONFIGURED
SCHED_BOCA_LEASE_ERP_AR_INVOI,01.00.0000,CONFIGURED
AUTO_GALA_H2H_CHEC_MT94_FILE_IMP,01.00.0000,CONFIGURED
CONCUR_PROJECT_TASKS,01.00.0000,ACTIVATED
PRACTICE_INT,01.00.0000,ACTIVATED
OBL_BULKL_OBJEC_IN_TO_ERP,01.00.0000,ACTIVATED
INTEGRATION2_241,01.00.0000,CONFIGURED
SCH_INTEGRATIO3_241,01.00.0000,CONFIGURED
SCH_INTEGRATIO4_241,01.00.0000,CONFIGURED
INTEGRATION3_241,01.00.0000,CONFIGURED
INTEGRATIO_RP_241,01.00.0000,CONFIGURED
INTEGRAT_RQ_RS_241,01.00.0000,CONFIGURED
INTEGRATIO_SUM_241,01.00.0000,CONFIGURED
INTEGRAT_S_GV_241,01.00.0000,CONFIGURED
INTEGRATIO_SWI_241,01.00.0000,CONFIGURED
PAUSERESUME,01.00.0000,CONFIGURED
INTEGRATIO_CALC_241,01.00.0000,CONFIGURED
PAUSEORRESUMESCHEDULEINTEGRATION,01.00.0000,CONFIGURED
INTEGRATIO_INSTANCES_241,01.00.0000,CONFIGURED
SYNC_SCHEDULE_CALLER_241,01.00.0000,CONFIGURED
INTEGRATIO_MERGE_241,01.00.0000,CONFIGURED
INTEGRATIO_UPDATE_241,01.00.0000,CONFIGURED
INTEGRATIO_ERR_241,01.00.0000,CONFIGURED
INTEGR_WHI_RQ_RS_241,01.00.0000,CONFIGURED
INTEGR_NSRT_RST_ATP_241,01.00.0000,CONFIGURED
INTEGRATIO_FOR_241,01.00.0000,CONFIGURED
INTEGRATIO_PACK_241,01.00.0000,CONFIGURED
